model	p1	p2	p3	p4	p5	p6	p7	p98
1101				O				O
1102				O				O
1103				O				O
1104				O				O
1198				O				O
1201				O				O
1298				O				O
1301	O	O	O		O		O	O
1302	O	O	O		O		O	O
1303	O	O	O		O		O	O
1304	O	O	O		O		O	O
1305	O	O	O		O		O	O
1306	O	O	O		O		O	O
1307	O	O	O		O		O	O
1308	O	O	O		O		O	O
1309	O	O	O		O		O	O
1310	O	O	O		O		O	O
1311	O	O	O		O		O	O
1312				O				O
1398	O	O	O	O	O	O	O	O
1401	O	O						O
1402	O	O						O
1403	O	O						O
1404	O	O						O
1405	O	O						O
1406	O	O	O		O		O	O
1407	O	O	O		O		O	O
1408	O	O	O		O		O	O
1409	O	O	O		O		O	O
1410	O	O	O		O		O	O
1411	O	O	O		O		O	O
1412	O	O	O		O		O	O
1413				O				O
1498	O	O	O	O	O	O	O	O
1501	O	O	O		O		O	O
1502	O	O	O		O		O	O
1503	O	O	O		O		O	O
1504	O	O	O		O		O	O
1505	O	O	O		O		O	O
1506				O				O
1507	O	O	O		O		O	O
1508	O	O	O		O		O	O
1509	O	O	O		O		O	O
1510	O	O	O		O		O	O
1511	O	O	O		O		O	O
1598	O	O	O	O	O	O	O	O
1601	O	O	O	O	O		O	O
1602	O	O	O	O	O		O	O
1603	O	O	O		O			O
1604	O	O	O		O		O	O
1605	O	O	O		O		O	O
1606	O	O	O		O		O	O
1607	O	O	O		O		O	O
1608	O	O	O		O		O	O
1609	O	O	O		O		O	O
1698	O	O	O	O	O	O	O	O
1701	O	O	O		O		O	O
1702	O	O	O		O		O	O
1703	O	O	O		O		O	O
1704	O	O	O		O		O	O
1705	O	O	O		O		O	O
1706	O	O	O		O		O	O
1707	O	O	O		O		O	O
1708	O	O	O		O		O	O
1798	O	O	O	O	O	O	O	O
1801	O	O	O		O		O	O
1802	O	O	O		O		O	O
1803	O	O	O		O		O	O
1804	O	O	O		O		O	O
1805	O	O	O		O		O	O
1806	O	O	O		O		O	O
1807	O	O	O		O		O	O
1808	O	O	O		O		O	O
1809	O	O	O		O		O	O
1898	O	O	O	O	O	O	O	O
1901	O	O	O		O		O	O
1902	O	O	O		O		O	O
1903	O	O	O		O		O	O
1904	O	O	O		O		O	O
1905				O				O
1906	O	O	O		O		O	O
1907	O	O	O		O		O	O
1908	O	O	O		O		O	O
1909	O	O	O		O		O	O
1910	O	O	O		O		O	O
1911	O	O	O		O		O	O
1912	O	O	O		O		O	O
1913	O	O	O		O		O	O
1914	O	O	O		O		O	O
1998	O	O	O	O	O	O	O	O
2001	O	O	O	O	O		O	O
2002	O	O	O		O		O	O
2003	O	O	O		O		O	O
2004	O	O	O		O		O	O
2005	O	O	O		O		O	O
2006	O	O	O		O		O	O
2007	O	O	O		O		O	O
2008	O	O	O		O		O	O
2009	O	O	O		O		O	O
2098	O	O	O	O	O	O	O	O
2101	O	O	O		O		O	O
2102	O	O	O		O		O	O
2103	O	O	O		O		O	O
2104	O	O	O		O		O	O
